,*,e390,
,bronze,eb2c,
,brother,e006,
,brothers,e007,
,build,e17a,
,building,e0a1,
,Bukki,e3e3,Num 34:22
,burden,ec86,
,burn,ecd0,
,burnt,ecd0,
,bury,e0d7,
,but,e11a,
,buy,e32a,
,Buz,e1a5,Gen 22:21
,Caesar,e370,Acts 26:32
,Caesarea,e346,Matt 16:13
,Caiaphas,ea77,Matt 26:3
,Cain,ec56,Gen 4:1
,Cainan,ec56,Luke 3:36
,Calah,edc6,Gen 10:12
,Caleb,e2b2,Num 13:6
,call,e040,
,camel,e29f,
,can,e124,Gen 4:13
,Cana,eba2,John 2:11
,Canaan_land,e33d,Acts 7:11
,Canaan_man,edc7,Gen 9:18
,Candace,eb85,Acts 8:27
,Capernaum,e33a,Matt 4:13
,Caphtorites,edc8,Gen  10:14
,Cappadocia,eb74,Acts 2:9
,careful,e19e,
,Carmel,e43d,Josh 12:22
,carpenter,e14f,
,Carpus,ecad,2 Tim 4:13
,carry,e088,
,case,ec87,Exod 18:22
,catch,e115,
,Cauda,ec36,Acts 27:16
,cave,eda6,
,Cenchrea,eb3d,Acts 18:18
,census,e0b8,
,centurion,eb7a,
,Cephas,e356,John1:42
,ceremony,ec88,
,chain,e25f,
,chair,e298,
,Chaldea,eb0e,Jer 50:10
,change,e31e,
,chapter,e230,
,chariot,ec82,
,Chemosh,e3a8,Num 21:29
,Chesulloth,e58a,Jos 19:18
,chew_cud,e2da,Lev 11:3
,child,e200,
,children,e201,
,Chios,eb22,Acts 20:15
,Chloe,ebe2,1 Cor 1:11
,choose,e021,
,Chorazin,ea8f,Matt 11:21
,Christ,e334,Matt 1:1
,Christian,eb90,Acts 26:28
,Chronicles,e419,
,church,ebfc,
,Chuza,ec57,Luke 8:3
,Cilicia,eb5b,Acts 6:9
,circumcise,e250,
,circumcision,e250,
,citizen,eb98,
,Clauda,ec36,Acts 27:16
,Claudia,ecae,2 Tim 4:21
,Claudius,eb8a,Acts 11:28
,clay,ebec,
,clean,e248,
,Clement,ece3,Phil 4:3
,Cleopas,ec58,Luke 24:18
,cloak,ea76,
,Clopas,ebb5,John 19:25
,close,e300,
,closed,e23f,
,clothe,e147,
,clothing,e253,
,cloud,e26e,
,Cnidus,ec14,Acts 27:7
,cohort,e148,
,cold,e0f2,
,color,e284,
,Colossae,ece8,Col 1:2
,come,e25a,
,come_out,e243,
,comfort,ea3b,
,command,e058,
,commandment,e22f,
,compassion,e01a,
,complete,ecec,
,concubine,eefc,
,condemn,ea7f,
,condemnation,ea7f,
,confession,e03f,
,confidence,e070,
,confuse,eb08,
,continue,e049,
,control,e332,
,convert,e83a,
,Corinth,ea59,Acts 18:1
,Cornelius,eb81,Acts 10:1
,corner,eb83,
,cornerstone,e21c,
,correct,e09a,
,Cosam,ec59,Luke 3:28
,couch,eb5f,
,council,e0f7,
,counted,ebc0,
,country,e0a2,
,countrymen,e157,
,countryside,eb96,
,courage,e196,
,courtyard,e0f6,
,covenant,e21d,
,cover,e39a,
,covet,e022,
,cow,eb36,
,create,e076,
,creation,ebc3,
,Creator,ec22,Rom 1:25
,credit,ebc0,
,Crescan,ecaf,2 Tim 4:10
,Crete,ec8d,Acts 27:7
,Crispus,eb3a,Acts 18:8
,criticize,e055,
,crooked,eb39,
,cross,e038,
,crowd,e128,
,crown,eda4,
,crucify,e03c,
,crush,e146,
,cry,e20c,
,cup,e274,
,curse,e05a,
,curtain,e254,
,Cush,edca,Gen 2:13
,Cush_land,e1e2,Isa 11:11
,Cush_man,edca,Gen 10:6
,Cushan_Rishathaim,e47b,Judg 3:8
,Cushi,e610,Zeph 1:1
,cushion,e26c,
,custom,eb10,
,cut,e24e,
,cymbal,ebe3,
,Cypress,edcb,Gen 6:14
,Cyprus,eb88,Acts 4:36
,Cyrene,eb59,Matt 27:32
,Dabbesheth,e5a2,Jos 19:10
,Daberath,e507,Josh 21:28
,Dagon,e4e8,2 Sam 10:10
,Dalmanutha,e344,Mark 8:10
,Dalmatia,ecb1,2 Tim 4:10
,Damaris,eb37,Acts 17:34
,Damascus,ec31,Gen  14:15
,Dan_land,edcc,Gen 14:14
,Dan_man,edcd,Gen 30:6
,dance,e259,
,Daniel,ea78,Matt 24:15
,Dannah,e4bf,Josh 15:49
,Darius,e490,Hag 1:1
,dark,ea17,
,Dathan,e2f7,Num 16:1
,daughter,e00c,
,daughters,e00d,
,David,e35e,Matt 1:1
,day,e15f,
,deacon,e12d,
,dead,e181,
,deaf,e191,
,death,e181,
,Debir_city,e43e,Josh 10:38
,Debir_man,e42d,Josh 10:3
,Deborah,efb5,Gen 35:8
,Decapolis,e33e,Matt 4:25
,deceive,e17f,
,deceiver,e152,
,deception,e17f,
,Dedan,edce,Gen 10:7
,deep,e321,
,deer,efb6,
,Delilah,e576,Judg 16:4
,Demes,ecb2,2 Tim 4:10
,Demetrius,eb1a,Acts 19:24
,demon,eb87,
,denarius,e165,Matt 22:19
,deny,e0e5,
,depart,e243,
,depth,e321,
,Derbe,eb43,Acts 14:6
,descend,e317,
,descendant,eb60,
,desert,e156,
,deserve,e0f5,
,desire,e020,
,destroy,e141,
,destruction,e141,
,Deuel,e2b3,Num 1:14
,Diblaim,e595,Hos 1:3
,Dibon,e3a9,Num 21:30
,Dibon_Gad,e3e8,Num 33:45
,Dibri,e2ef,Lev 24:11
,Didymus,ebb6,John 11:16
,die,e181,
,different,ecff,
,difficult,e093,
,dignify,e04b,
,Diklah,e1ac,Gen  10:27
,Dilean,e4c0,Josh 15:38
,Dimnah,e53d,Jos 21:35
,Dimonah,e4c1,Josh 15:22
,Dinah,efb7,Gen 30:21
,Dinhabah_city,efed,Gen 36:32
