,*,E390,
,burden,ec86,
,burn,ecd0,
,burnt,ecd0,
,bury,E0d7,
,but,E11A,
,buy,E32a,
,Buz,E1a5,Gen 22:21
,Caesar,E370,Acts 26:32
,Caesarea,E346,Matt 16:13
,Caiaphas,EA77,Matt 26:3
,Cain,Ec56,Gen 4:1
,Cainan,Ec56,Luke 3:36
,Calah,edc6,Gen 10:12
,Caleb,e2b2,Num 13:6
,call,E040,
,camel,E29F,
,can,E124,Gen 4:13
,Cana,Eba2,John 2:11
,Canaan_land,E33D,Acts 7:11
,Canaan_man,edc7,Gen 9:18
,Candace,Eb85,Acts 8:27
,Capernaum,E33A,Matt 4:13
,Caphtorites,edc8,Gen  10:14
,Cappadocia,Eb74,Acts 2:9
,careful,E19E,
,Carmel,e43d,Josh 12:22
,carpenter,E14F,
,Carpus,ecad,2 Tim 4:13
,carry,E088,
,case,Ec87,Exod 18:22
,catch,E115,
,Cauda,Ec36,Acts 27:16
,cave,eda6,
,Cenchrea,EB3d,Acts 18:18
,census,E0B8,
,centurion,Eb7a,
,Cephas,E356,John1:42
,ceremony,Ec88,
,chain,E25F,
,chair,E298,
,Chaldea,Eb0e,Jer 50:10
,change,E31E,
,chapter,E230,
,chariot,Ec82,
,Chemosh,e3a8,Num 21:29
,chew_cud,e2da,Lev 11:3
,child,E200,
,children,E201,
,Chios,eb22,Acts 20:15
,Chloe,Ebe2,1 Cor 1:11
,choose,E021,
,Chorazin,EA8F,Matt 11:21
,Christ,E334,Matt 1:1
,Christian,Eb90,Acts 26:28
,Chronicles,e419,
,church,ebfc,
,Chuza,Ec57,Luke 8:3
,Cilicia,Eb5b,Acts 6:9
,circumcise,E250,
,circumcision,E250,
,citizen,Eb98,
,Clauda,Ec36,Acts 27:16
,Claudia,ecae,2 Tim 4:21
,Claudius,Eb8a,Acts 11:28
,clay,ebec,
,clean,E248,
,Clement,ece3,Phil 4:3
,Cleopas,Ec58,Luke 24:18
,cloak,EA76,
,Clopas,Ebb5,John 19:25
,close,e300,
,closed,E23F,
,clothe,E147,
,clothing,E253,
,cloud,E26E,
,Cnidus,Ec14,Acts 27:7
,cohort,E148,
,cold,E0f2,
,color,E284,
,Colossae,ece8,Col 1:2
,come,E25A,
,come_out,E243,
,comfort,EA3B,
,command,E058,
,commandment,e22f,
,compassion,E01A,
,complete,ecec,
,concubine,eefc,
,condemn,Ea7f,
,condemnation,Ea7f,
,confession,e03f,
,confidence,E070,
,confuse,Eb08,
,continue,e049,
,control,E332,
,convert,E83A,
,Corinth,Ea59,Acts 18:1
,Cornelius,Eb81,Acts 10:1
,corner,Eb83,
,cornerstone,E21C,
,correct,E09a,
,Cosam,ec59,Luke 3:28
,couch,Eb5f,
,council,E0f7,
,counted,Ebc0,
,country,E0a2,
,countrymen,E157,
,countryside,Eb96,
,courage,E196,
,courtyard,E0f6,
,covenant,E21D,
,cover,E39A,
,covet,E022,
,cow,EB36,
,create,E076,
,creation,Ebc3,
,Creator,Ec22,Rom 1:25
,credit,Ebc0,
,Crescan,ecaf,2 Tim 4:10
,Crete,Ec8d,Acts 27:7
,Crispus,EB3A,Acts 18:8
,criticize,e055,
,crooked,EB39,
,cross,E038,
,crowd,E128,
,crown,Eda4,
,crucify,E03C,
,crush,E146,
,cry,E20C,
,cup,E274,
,curse,E05A,
,curtain,E254,
,Cush,edca,Gen 2:13
,Cush_land,e1e2,Isa 11:11
,Cush_man,Edca,Gen 10:6
,cushion,E26c,
,custom,Eb10,
,cut,E24E,
,cymbal,ebe3,
,Cypress,edcb,Gen 6:14
,Cyprus,Eb88,Acts 4:36
,Cyrene,Eb59,Matt 27:32
,Daberath,e507,
,Dagon,e4e8,
,Dalmanutha,E344,Mark 8:10
,Dalmatia,ecb1,2 Tim 4:10
,Damaris,EB37,Acts 17:34
,Damascus,Ec31,Gen  14:15
,Dan_land,edcc,Gen 14:14
,Dan_man,edcd,Gen 30:6
,dance,E259,
,Daniel,EA78,Matt 24:15
,Dannah,e4bf,
,Darius,e490,Hag 1:1
,dark,EA17,
,Dathan,e2f7,Num 16:1
,daughter,E00C,
,daughters,E00D,
,David,E35E,Matt 1:1
,day,E15F,
,deacon,e12d,
,dead,E181,
,deaf,E191,
,death,E181,
,Debir_city,e43e,Josh 10:38
,Debir_man,e42d,Josh 10:3
,Deborah,efb5,Gen 35:8
,Decapolis,E33e,Matt 4:25
,deceive,E17F,
,deceiver,E152,
,deception,E17F,
,Dedan,edce,Gen 10:7
,deep,E321,
,deer,efb6,
,Demes,ecb2,2 Tim 4:10
,Demetrius,Eb1a,Acts 19:24
,demon,eb87,
,denarius,E165,Matt 22:19
,deny,E0e5,
,depart,E243,
,depth,E321,
,Derbe,EB43,Acts 14:6
,descend,E317,
,descendant,Eb60,
,desert,E156,
,deserve,E0f5,
,desire,E020,
,destroy,E141,
,destruction,e141,
,Deuel,e2b3,Num 1:14
,Dibon,e3a9,Num 21:30
,Dibon_Gad,e3e8,Num 33:45
,Dibri,e2ef,Lev 24:11
,Didymus,Ebb6,John 11:16
